PAYROLL,COMPONENT,GL,BRANCH,AMOUNT(SLL)
"January 2022 Salary - Permanent Staff",Overtime,143000000010,"CHARLOTTE STREET BRANCH",1880000.00
"January 2022 Salary - Permanent Staff",Overtime,143000000010,"KABALA BRANCH",2670000.00
"January 2022 Salary - Permanent Staff",Overtime,143000000010,"KAILAHUN BRANCH",1260000.00
"January 2022 Salary - Permanent Staff",Overtime,143000000010,"WILKINSON ROAD BRANCH",0.00
"January 2022 Salary - Permanent Staff",Overtime,143000000010,"JUBA BRANCH",0.00
"January 2022 Salary - Permanent Staff",PAYE,124300000027,"HEAD OFFICE",1081123659.92
"January 2022 Salary - Permanent Staff",PAYE,124300000027,"SIAKA STEVENS STREET BRANCH",331981180.22
"January 2022 Salary - Permanent Staff",PAYE,124300000027,"CLOCK TOWER BRANCH",44506246.20
"January 2022 Salary - Permanent Staff",PAYE,124300000027,"BO BRANCH",109607285.74
"January 2022 Salary - Permanent Staff",PAYE,124300000027,"KENEMA BRANCH",46632846.20
"January 2022 Salary - Permanent Staff",PAYE,124300000027,"WELLINGTON BRANCH",48669285.20
"January 2022 Salary - Permanent Staff",PAYE,124300000027,"WILBERFORCE STREET BRANCH",38966800.08
"January 2022 Salary - Permanent Staff",PAYE,124300000027,"KOIDU BRANCH",38947705.84
"January 2022 Salary - Permanent Staff",PAYE,124300000027,"MOYAMBA BRANCH",23769007.94
"January 2022 Salary - Permanent Staff",PAYE,124300000027,"PUJEHUN BRANCH",31986792.70
"January 2022 Salary - Permanent Staff",PAYE,124300000027,"CONGO CROSS BRANCH",112346617.40
"January 2022 Salary - Permanent Staff",PAYE,124300000027,"MAKENI BRANCH",49231244.56
"January 2022 Salary - Permanent Staff",PAYE,124300000027,"CHARLOTTE STREET BRANCH",47835206.50
"January 2022 Salary - Permanent Staff",PAYE,124300000027,"KABALA BRANCH",26871612.60
"January 2022 Salary - Permanent Staff",PAYE,124300000027,"KAILAHUN BRANCH",21448426.18
"January 2022 Salary - Permanent Staff",PAYE,124300000027,"WILKINSON ROAD BRANCH",28347592.28
"January 2022 Salary - Permanent Staff",PAYE,124300000027,"JUBA BRANCH",60622789.86
"January 2022 Salary - Permanent Staff","Senior Staff Association",0201300000801,"HEAD OFFICE",2800000.00
"January 2022 Salary - Permanent Staff","Senior Staff Association",0201300000801,"SIAKA STEVENS STREET BRANCH",600000.00
